slug,name,solution_type,entity_type,categories,presence,presence_why,velocity,velocity_why,agent_readiness,agent_readiness_why,canonical_url,last_updated
adobe-llm-optimizer,Adobe LLM Optimizer,Buy,tool,aeo,69,New (GA Oct 2025) but Adobe Experience Cloud distribution,78,"Fresh GA, Adobe shipping machine behind it",Medium,Adobe APIs; agent surface still maturing,https://stack.adamgtm.com/adobe-llm-optimizer/,2026-05-26
aeo-open-source,Open Source AEO Projects & Resources,Build,resource,aeo,,,,,,,https://stack.adamgtm.com/aeo-open-source/,2026-05-26
ahrefs,Ahrefs,Buy,tool,aeo,70,"~$149M rev, bootstrapped, dominant SEO; AEO bolt-on",62,Steady; AEO is strong add-on not core focus,Medium,Official MCP plus mature API,https://stack.adamgtm.com/ahrefs/,2026-06-14
airops,AirOps,Buy,tool,aeo,76,"$62M raised, $225M val, Ramp/Wiz/Klaviyo logos; native AEO",88,Headcount 20→100 in a year; fresh Series B,High,"Official MCP + Claude Connector, REST API, Client SDK",https://stack.adamgtm.com/airops/,2026-06-21
aivo-meridian,AIVO,Buy,tool,aeo,52,"Strong thought-leadership (Fortune, AIVO Journal) but no disclosed funding, customers, or analyst placement",60,"Active publish/ship cadence — AIVO Optimize, AIVO Edge, and the Agentic Brand Control category paper all May 2026",Low,No API/MCP/SDK/CLI product surface; only a public spec repo for the AIVO Standard,https://stack.adamgtm.com/aivo-meridian/,2026-06-06
amplitude,Amplitude,Buy,tool,aeo,68,"Public co (~$343M FY25 rev, 698 $100K+ customers); 27K+ brands ran the free AI Visibility tool — but AEO is a new line, modest category share-of-voice",66,"Launched Oct 2025, shipped AI Visibility 1.5 in Feb 2026 — real cadence on the AEO line, above an SEO bolt-on",High,"Official OAuth MCP server (free on Starter), mature REST APIs, Browser/Node/Python SDKs",https://stack.adamgtm.com/amplitude/,2026-06-06
amsive,Amsive,Hire,agency,aeo,,,,,,,https://stack.adamgtm.com/amsive/,2026-06-06
animalz,Animalz,Hire,agency,aeo,,,,,,,https://stack.adamgtm.com/animalz/,2026-05-26
athenahq,AthenaHQ,Buy,tool,aeo,72,Punches above $2.7M seed on influencer visibility,56,Shipping cadence cooled recently; smaller team,Medium,Some API access; no public MCP yet,https://stack.adamgtm.com/athenahq/,2026-06-14
bluefish-ai,Bluefish AI,Buy,tool,aeo,70,"$68M raised, $43M Series B, F500 logos; invisible socially",86,Well-funded and shipping fast post-raise,Low,Zero agent surfaces despite funding,https://stack.adamgtm.com/bluefish-ai/,2026-06-14
